timestamp,temperature
20250101T0000,-1.1097546
20250101T0100,-1.2997546
20250101T0200,-1.5297545
20250101T0300,-1.5997547
20250101T0400,-1.2197546
20250101T0500,-0.87975454
20250101T0600,-0.04975462
20250101T0700,-0.07975459
20250101T0800,0.4502454
20250101T0900,2.2002454
20250101T1000,4.1402454
20250101T1100,5.8302455
20250101T1200,7.380245
20250101T1300,8.380245
20250101T1400,8.510245
20250101T1500,7.500245
20250101T1600,5.4702454
20250101T1700,4.7002454
20250101T1800,4.3302455
20250101T1900,4.2102456
20250101T2000,3.9902453
20250101T2100,4.1202455
20250101T2200,5.0902452
20250101T2300,5.230245
20250102T0000,5.610245
20250102T0100,5.900245
20250102T0200,6.2202454
20250102T0300,6.7402453
20250102T0400,7.3002453
20250102T0500,7.6202455
20250102T0600,7.630245
20250102T0700,8.030246
20250102T0800,8.390245
20250102T0900,9.370245
20250102T1000,9.290245
20250102T1100,8.910245
20250102T1200,8.280246
20250102T1300,7.670245
20250102T1400,7.2802453
20250102T1500,7.0102453
20250102T1600,6.5102453
20250102T1700,5.500245
20250102T1800,4.5002456
20250102T1900,2.9602456
20250102T2000,2.2002454
20250102T2100,2.0902452
20250102T2200,1.8502454
20250102T2300,1.7802454
20250103T0000,1.5802454
20250103T0100,1.3702455
20250103T0200,1.3302454
20250103T0300,0.9402454
20250103T0400,0.6602454
20250103T0500,0.4202454
20250103T0600,0.2502454
20250103T0700,0.2402454
20250103T0800,0.6302454
20250103T0900,1.3402455
20250103T1000,1.9502454
20250103T1100,2.5402455
20250103T1200,2.9102454
20250103T1300,3.0102453
20250103T1400,2.9702454
20250103T1500,2.4402454
20250103T1600,1.1502454
20250103T1700,0.47024542
20250103T1800,-0.3797546
20250103T1900,-1.1897546
20250103T2000,-1.3097546
20250103T2100,-1.3697546
20250103T2200,-3.5297546
20250103T2300,-3.6497545
20250104T0000,-3.6697545
20250104T0100,-3.8597546
20250104T0200,-4.1997547
20250104T0300,-4.3997545
20250104T0400,-4.4197545
20250104T0500,-4.3797545
20250104T0600,-4.389755
20250104T0700,-4.639755
20250104T0800,-3.6497545
20250104T0900,-2.1797547
20250104T1000,-0.85975456
20250104T1100,-0.07975459
20250104T1200,0.7602454
20250104T1300,1.1902454
20250104T1400,1.1702454
20250104T1500,0.5002454
20250104T1600,-0.09975457
20250104T1700,-0.17975461
20250104T1800,-0.07975459
20250104T1900,-0.08975458
20250104T2000,0.010245383
20250104T2100,0.060245395
20250104T2200,0.1802454
20250104T2300,0.4302454
20250105T0000,0.5802454
20250105T0100,0.3002454
20250105T0200,1.1102455
20250105T0300,3.3102455
20250105T0400,5.8202453
20250105T0500,6.7802453
20250105T0600,7.440245
20250105T0700,7.9902453
20250105T0800,8.390245
20250105T0900,8.820246
20250105T1000,9.260245
20250105T1100,10.160245
20250105T1200,10.360246
20250105T1300,10.140245
20250105T1400,10.320246
20250105T1500,9.880245
